Comunidad y ciudad autónoma de defunción;Covid-19;Sexo;Edad;Total
Total nacional;Total;Total;Total;493.776
Total nacional;Total;Total;De 0 a 49 años;15.977
Total nacional;Total;Total;De 50 a 54 años;10.389
Total nacional;Total;Total;De 55 a 59 años;15.847
Total nacional;Total;Total;De 60 a 64 años;21.967
Total nacional;Total;Total;De 65 a 69 años;27.536
Total nacional;Total;Total;De 70 a 74 años;38.816
Total nacional;Total;Total;De 75 a 79 años;52.375
Total nacional;Total;Total;De 80 a 84 años;74.045
Total nacional;Total;Total;De 85 a 89 años;107.394
Total nacional;Total;Total;De 90 a 94 años;87.184
Total nacional;Total;Total;95 y más años;42.246
Total nacional;Total;Hombres;Total;249.664
Total nacional;Total;Hombres;De 0 a 49 años;10.352
Total nacional;Total;Hombres;De 50 a 54 años;6.909
Total nacional;Total;Hombres;De 55 a 59 años;10.547
Total nacional;Total;Hombres;De 60 a 64 años;14.860
Total nacional;Total;Hombres;De 65 a 69 años;18.720
Total nacional;Total;Hombres;De 70 a 74 años;25.542
Total nacional;Total;Hombres;De 75 a 79 años;32.183
Total nacional;Total;Hombres;De 80 a 84 años;39.211
Total nacional;Total;Hombres;De 85 a 89 años;48.556
Total nacional;Total;Hombres;De 90 a 94 años;31.606
Total nacional;Total;Hombres;95 y más años;11.178
Total nacional;Total;Mujeres;Total;244.112
Total nacional;Total;Mujeres;De 0 a 49 años;5.625
Total nacional;Total;Mujeres;De 50 a 54 años;3.480
Total nacional;Total;Mujeres;De 55 a 59 años;5.300
Total nacional;Total;Mujeres;De 60 a 64 años;7.107
Total nacional;Total;Mujeres;De 65 a 69 años;8.816
Total nacional;Total;Mujeres;De 70 a 74 años;13.274
Total nacional;Total;Mujeres;De 75 a 79 años;20.192
Total nacional;Total;Mujeres;De 80 a 84 años;34.834
Total nacional;Total;Mujeres;De 85 a 89 años;58.838
Total nacional;Total;Mujeres;De 90 a 94 años;55.578
Total nacional;Total;Mujeres;95 y más años;31.068
Total nacional;Covid-19 Virus identificado;Total;Total;60.358
Total nacional;Covid-19 Virus identificado;Total;De 0 a 49 años;701
Total nacional;Covid-19 Virus identificado;Total;De 50 a 54 años;641
Total nacional;Covid-19 Virus identificado;Total;De 55 a 59 años;1.179
Total nacional;Covid-19 Virus identificado;Total;De 60 a 64 años;2.077
Total nacional;Covid-19 Virus identificado;Total;De 65 a 69 años;3.064
Total nacional;Covid-19 Virus identificado;Total;De 70 a 74 años;4.980
Total nacional;Covid-19 Virus identificado;Total;De 75 a 79 años;7.511
Total nacional;Covid-19 Virus identificado;Total;De 80 a 84 años;10.404
Total nacional;Covid-19 Virus identificado;Total;De 85 a 89 años;14.468
Total nacional;Covid-19 Virus identificado;Total;De 90 a 94 años;10.700
Total nacional;Covid-19 Virus identificado;Total;95 y más años;4.633
Total nacional;Covid-19 Virus identificado;Hombres;Total;32.498
Total nacional;Covid-19 Virus identificado;Hombres;De 0 a 49 años;451
Total nacional;Covid-19 Virus identificado;Hombres;De 50 a 54 años;456
Total nacional;Covid-19 Virus identificado;Hombres;De 55 a 59 años;808
Total nacional;Covid-19 Virus identificado;Hombres;De 60 a 64 años;1.516
Total nacional;Covid-19 Virus identificado;Hombres;De 65 a 69 años;2.205
Total nacional;Covid-19 Virus identificado;Hombres;De 70 a 74 años;3.418
Total nacional;Covid-19 Virus identificado;Hombres;De 75 a 79 años;4.872
Total nacional;Covid-19 Virus identificado;Hombres;De 80 a 84 años;6.007
Total nacional;Covid-19 Virus identificado;Hombres;De 85 a 89 años;7.143
Total nacional;Covid-19 Virus identificado;Hombres;De 90 a 94 años;4.246
Total nacional;Covid-19 Virus identificado;Hombres;95 y más años;1.376
Total nacional;Covid-19 Virus identificado;Mujeres;Total;27.860
Total nacional;Covid-19 Virus identificado;Mujeres;De 0 a 49 años;250
Total nacional;Covid-19 Virus identificado;Mujeres;De 50 a 54 años;185
Total nacional;Covid-19 Virus identificado;Mujeres;De 55 a 59 años;371
Total nacional;Covid-19 Virus identificado;Mujeres;De 60 a 64 años;561
Total nacional;Covid-19 Virus identificado;Mujeres;De 65 a 69 años;859
Total nacional;Covid-19 Virus identificado;Mujeres;De 70 a 74 años;1.562
Total nacional;Covid-19 Virus identificado;Mujeres;De 75 a 79 años;2.639
Total nacional;Covid-19 Virus identificado;Mujeres;De 80 a 84 años;4.397
Total nacional;Covid-19 Virus identificado;Mujeres;De 85 a 89 años;7.325
Total nacional;Covid-19 Virus identificado;Mujeres;De 90 a 94 años;6.454
Total nacional;Covid-19 Virus identificado;Mujeres;95 y más años;3.257
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;Total;14.481
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 0 a 49 años;112
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 50 a 54 años;115
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 55 a 59 años;160
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 60 a 64 años;246
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 65 a 69 años;344
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 70 a 74 años;681
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 75 a 79 años;1.204
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 80 a 84 años;2.228
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 85 a 89 años;3.911
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;De 90 a 94 años;3.546
Total nacional;Covid-19 Virus no identificado (sospechoso);Total;95 y más años;1.934
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;Total;6.419
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 0 a 49 años;80
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;85
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;108
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;167
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;237
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;431
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;740
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;1.142
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;1.681
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;1.227
Total nacional;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;521
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;8.062
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;32
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;30
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;52
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;79
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;107
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;250
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;464
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;1.086
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;2.230
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;2.319
Total nacional;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;1.413
Total nacional;Otras causas;Total;Total;418.937
Total nacional;Otras causas;Total;De 0 a 49 años;15.164
Total nacional;Otras causas;Total;De 50 a 54 años;9.633
Total nacional;Otras causas;Total;De 55 a 59 años;14.508
Total nacional;Otras causas;Total;De 60 a 64 años;19.644
Total nacional;Otras causas;Total;De 65 a 69 años;24.128
Total nacional;Otras causas;Total;De 70 a 74 años;33.155
Total nacional;Otras causas;Total;De 75 a 79 años;43.660
Total nacional;Otras causas;Total;De 80 a 84 años;61.413
Total nacional;Otras causas;Total;De 85 a 89 años;89.015
Total nacional;Otras causas;Total;De 90 a 94 años;72.938
Total nacional;Otras causas;Total;95 y más años;35.679
Total nacional;Otras causas;Hombres;Total;210.747
Total nacional;Otras causas;Hombres;De 0 a 49 años;9.821
Total nacional;Otras causas;Hombres;De 50 a 54 años;6.368
Total nacional;Otras causas;Hombres;De 55 a 59 años;9.631
Total nacional;Otras causas;Hombres;De 60 a 64 años;13.177
Total nacional;Otras causas;Hombres;De 65 a 69 años;16.278
Total nacional;Otras causas;Hombres;De 70 a 74 años;21.693
Total nacional;Otras causas;Hombres;De 75 a 79 años;26.571
Total nacional;Otras causas;Hombres;De 80 a 84 años;32.062
Total nacional;Otras causas;Hombres;De 85 a 89 años;39.732
Total nacional;Otras causas;Hombres;De 90 a 94 años;26.133
Total nacional;Otras causas;Hombres;95 y más años;9.281
Total nacional;Otras causas;Mujeres;Total;208.190
Total nacional;Otras causas;Mujeres;De 0 a 49 años;5.343
Total nacional;Otras causas;Mujeres;De 50 a 54 años;3.265
Total nacional;Otras causas;Mujeres;De 55 a 59 años;4.877
Total nacional;Otras causas;Mujeres;De 60 a 64 años;6.467
Total nacional;Otras causas;Mujeres;De 65 a 69 años;7.850
Total nacional;Otras causas;Mujeres;De 70 a 74 años;11.462
Total nacional;Otras causas;Mujeres;De 75 a 79 años;17.089
Total nacional;Otras causas;Mujeres;De 80 a 84 años;29.351
Total nacional;Otras causas;Mujeres;De 85 a 89 años;49.283
Total nacional;Otras causas;Mujeres;De 90 a 94 años;46.805
Total nacional;Otras causas;Mujeres;95 y más años;26.398
Andalucía;Total;Total;Total;78.909
Andalucía;Total;Total;De 0 a 49 años;3.234
Andalucía;Total;Total;De 50 a 54 años;2.098
Andalucía;Total;Total;De 55 a 59 años;3.168
Andalucía;Total;Total;De 60 a 64 años;4.034
Andalucía;Total;Total;De 65 a 69 años;4.953
Andalucía;Total;Total;De 70 a 74 años;6.913
Andalucía;Total;Total;De 75 a 79 años;9.317
Andalucía;Total;Total;De 80 a 84 años;12.832
Andalucía;Total;Total;De 85 a 89 años;16.481
Andalucía;Total;Total;De 90 a 94 años;11.424
Andalucía;Total;Total;95 y más años;4.455
Andalucía;Total;Hombres;Total;40.591
Andalucía;Total;Hombres;De 0 a 49 años;2.128
Andalucía;Total;Hombres;De 50 a 54 años;1.412
Andalucía;Total;Hombres;De 55 a 59 años;2.136
Andalucía;Total;Hombres;De 60 a 64 años;2.793
Andalucía;Total;Hombres;De 65 a 69 años;3.410
Andalucía;Total;Hombres;De 70 a 74 años;4.511
Andalucía;Total;Hombres;De 75 a 79 años;5.583
Andalucía;Total;Hombres;De 80 a 84 años;6.556
Andalucía;Total;Hombres;De 85 a 89 años;7.003
Andalucía;Total;Hombres;De 90 a 94 años;3.918
Andalucía;Total;Hombres;95 y más años;1.141
Andalucía;Total;Mujeres;Total;38.318
Andalucía;Total;Mujeres;De 0 a 49 años;1.106
Andalucía;Total;Mujeres;De 50 a 54 años;686
Andalucía;Total;Mujeres;De 55 a 59 años;1.032
Andalucía;Total;Mujeres;De 60 a 64 años;1.241
Andalucía;Total;Mujeres;De 65 a 69 años;1.543
Andalucía;Total;Mujeres;De 70 a 74 años;2.402
Andalucía;Total;Mujeres;De 75 a 79 años;3.734
Andalucía;Total;Mujeres;De 80 a 84 años;6.276
Andalucía;Total;Mujeres;De 85 a 89 años;9.478
Andalucía;Total;Mujeres;De 90 a 94 años;7.506
Andalucía;Total;Mujeres;95 y más años;3.314
Andalucía;Covid-19 Virus identificado;Total;Total;5.821
Andalucía;Covid-19 Virus identificado;Total;De 0 a 49 años;103
Andalucía;Covid-19 Virus identificado;Total;De 50 a 54 años;88
Andalucía;Covid-19 Virus identificado;Total;De 55 a 59 años;153
Andalucía;Covid-19 Virus identificado;Total;De 60 a 64 años;291
Andalucía;Covid-19 Virus identificado;Total;De 65 a 69 años;373
Andalucía;Covid-19 Virus identificado;Total;De 70 a 74 años;521
Andalucía;Covid-19 Virus identificado;Total;De 75 a 79 años;838
Andalucía;Covid-19 Virus identificado;Total;De 80 a 84 años;1.060
Andalucía;Covid-19 Virus identificado;Total;De 85 a 89 años;1.311
Andalucía;Covid-19 Virus identificado;Total;De 90 a 94 años;769
Andalucía;Covid-19 Virus identificado;Total;95 y más años;314
Andalucía;Covid-19 Virus identificado;Hombres;Total;3.180
Andalucía;Covid-19 Virus identificado;Hombres;De 0 a 49 años;70
Andalucía;Covid-19 Virus identificado;Hombres;De 50 a 54 años;74
Andalucía;Covid-19 Virus identificado;Hombres;De 55 a 59 años;108
Andalucía;Covid-19 Virus identificado;Hombres;De 60 a 64 años;193
